epoch,acc,loss,val_acc,val_loss
1,0.65154505,0.6417673128069542,0.6505707,0.6409116131918771
2,0.69039685,0.609749671631836,0.63909364,0.6395627056170666
3,0.707954,0.5890486994412182,0.6344817,0.6383159447391078
4,0.7217737,0.5721035486036208,0.6313861,0.6383269912791703
5,0.72955614,0.561415173910224,0.6311544,0.637187043531243
6,0.735556,0.5510566351539994,0.6289011,0.6379069340518221
7,0.74298316,0.5400294209086225,0.6273428,0.6386875575282824
8,0.7468993,0.5331946318491665,0.62570024,0.6398517992297272
9,0.7520827,0.5249208904678876,0.6227309,0.6399358643515091
10,0.7561921,0.5178215615024586,0.6223308,0.6410638473104595
11,0.758737,0.5124958755508897,0.62163585,0.6417017387090668
12,0.76303333,0.5054070442956694,0.6220149,0.6416862598969287
13,0.7654287,0.5012530025673761,0.6204776,0.6435936523094331
14,0.76697236,0.4974896358687855,0.6216569,0.6424154995104695
