epoch,acc,loss,val_acc,val_loss
1,0.6218985,0.6487536489943775,0.61657923,0.6559502088161836
2,0.6245689,0.6465340704405487,0.617927,0.6547435904636646
3,0.6262763,0.6451319987917701,0.6190192,0.6539201986204942
4,0.62749976,0.6440968559929896,0.61967826,0.6535485691078353
5,0.6285138,0.6432825731253252,0.6202082,0.6530521718596017
6,0.62932956,0.6425853936781987,0.6206521,0.6525325572634317
7,0.6302679,0.6419342563790035,0.62087,0.6523340397057558
8,0.63092995,0.6413471214587043,0.6210099,0.6523220163409353
9,0.6316166,0.6408020918779715,0.6209292,0.6524279789136732
