epoch,acc,loss,val_acc,val_loss
1,0.87718505,0.28589741753157644,0.8838394,0.27173443248801715
2,0.89633775,0.24717791537867462,0.89268416,0.2552319135054986
3,0.90770805,0.22250522991045332,0.89704335,0.2463912576539919
4,0.9150375,0.20523857338890353,0.8999916,0.24222018596819148
5,0.92147994,0.1912567354820595,0.90110767,0.24278843464867045
6,0.92615646,0.18025292725003852,0.90281343,0.24347717212663708
7,0.93025124,0.17043754425042826,0.90323466,0.24361138479066186
8,0.9343897,0.16162180340911053,0.90169734,0.24928416793468106
9,0.93716526,0.15479996966831794,0.90081286,0.253533907067106
10,0.9403418,0.1480770708351707,0.90034956,0.25783326419326413
11,0.9425315,0.14283710582632111,0.89973885,0.26490066208527735
