epoch,acc,loss,val_acc,val_loss
1,0.6410702,0.6331530254759862,0.64235777,0.6298980669512582
2,0.6498913,0.6246193712851159,0.64747506,0.6257093599382436
3,0.6565872,0.6180427331414575,0.65421385,0.6202865534554916
4,0.6617249,0.6128840743458933,0.6608263,0.6156664714819658
5,0.6667567,0.6080690766837002,0.66604894,0.6118197669237451
6,0.6715454,0.6034879115778161,0.668576,0.6083715067237535
7,0.67566514,0.599289056349801,0.6718191,0.606087684229699
8,0.67905563,0.5955028748079952,0.6727878,0.6050396714249069
9,0.6816588,0.5921550490697559,0.67299837,0.6042650774161449
10,0.6844676,0.589259724853946,0.6746831,0.6040755666973134
11,0.686757,0.5865419190308813,0.6752727,0.6039835576098563
12,0.6896012,0.5841857190526832,0.67371434,0.6035879673662211
13,0.69145846,0.5821907958127827,0.6759466,0.6030097360398892
14,0.6929647,0.5803901071132809,0.67653626,0.6030343138786017
15,0.69469523,0.5785017478088649,0.67577815,0.6036912341002184
