epoch,acc,loss,val_acc,val_loss
1,0.6237887,0.6475630512558075,0.6297078,0.6439681753963576
2,0.6283749,0.6441174309682525,0.6320541,0.6418992106138146
3,0.63092136,0.6422111885721767,0.633978,0.6406161791733176
4,0.63263506,0.6409725908252593,0.6350465,0.6397512421734614
5,0.6338236,0.640085068798554,0.63628817,0.6391222687571484
6,0.6347096,0.6394047527936799,0.636382,0.6386391807648657
7,0.63541913,0.6388585280066595,0.6368296,0.6382533871136417
8,0.63602257,0.6384054327391118,0.6374649,0.6379364206113661
9,0.63652855,0.6380205449038432,0.63774645,0.6376703716040208
10,0.63695556,0.6376876475679463,0.63786197,0.6374433466248369
11,0.6372854,0.6373956511719856,0.63798827,0.6372470498085022
12,0.6375625,0.6371365952829764,0.6382735,0.6370754922510019
13,0.63779694,0.6369046011101684,0.6385189,0.6369241801062577
14,0.63811433,0.6366951859051433,0.63866687,0.6367897007949909
15,0.6383726,0.6365048535884789,0.63879323,0.6366693883514845
16,0.63860035,0.6363308513899179,0.63869214,0.6365611413334589
